Artist,Total Views,100M,Avg
Gwen Stefani,"1,293.3",4,0.247
Alexis y Fido,"1,291.7",3,0.505
Billy Joel,"1,287.1",3,0.437
Emrah Karaduman,"1,286.5",3,0.146
Duke Dumont,"1,286.3",2,0.285
L-Gante,"1,281.3",1,0.581
John Newman,"1,278.3",1,0.271
Dennis,"1,277.6",2,0.152
Phil Collins,"1,277.6",2,0.368
Jhené Aiko,"1,274.9",2,0.414
El Bebeto,"1,271.4",2,0.189
Lenny Kravitz,"1,271.4",3,0.382
IZA,"1,270.3",5,0.396
Era Istrefi,"1,269.5",1,0.542
Nego do Borel,"1,269.0",3,0.065
Young M.A,"1,267.7",2,0.168
León Larregui,"1,264.3",4,0.345
SZA,"1,264.0",4,4.931
Yelawolf,"1,262.1",2,0.412
Mike WiLL Made-It,"1,261.9",1,0.118
Thomas Rhett,"1,261.4",2,0.174
Tiago PZK,"1,261.2",3,0.974
Sting,"1,260.2",3,0.554
The Neighbourhood,"1,255.2",1,0.545
Jads & Jadson,"1,252.2",1,0.230
Kim Loaiza,"1,252.1",4,1.250
Sharry Mann,"1,251.1",3,0.311
João Gomes,"1,247.2",4,1.729
Thirty Seconds to Mars,"1,247.2",3,0.176
Ayo & Teo,"1,247.0",2,0.090
WINNER,"1,244.0",1,0.119
NerdOut,"1,243.1",1,0.207
OG-ANIC,"1,241.3",4,0.191
Keyshia Cole,"1,241.1",5,0.319
Reykon,"1,236.0",2,0.160
Train,"1,233.3",4,0.205
Bruno e Barretto,"1,229.5",2,0.256
Carlos Baute,"1,229.3",1,0.239
Shaan,"1,229.3",2,0.879
Andrés Cepeda,"1,227.4",3,0.273
Florence + The Machine,"1,226.4",2,0.184
Limp Bizkit,"1,222.2",5,0.380
Severina,"1,222.2",1,0.214
Leona Lewis,"1,221.1",4,0.273
Diljit Dosanjh,"1,219.1",3,0.379
Márcia Fellipe,"1,215.6",2,0.156
Omarion,"1,215.5",1,0.155
Bastille,"1,215.3",1,0.195
Brett Young,"1,215.3",2,0.382
Simple Plan,"1,213.8",4,0.237
Robin Thicke,"1,209.3",1,0.170
Austin Mahone,"1,207.8",2,0.091
Zé Ramalho,"1,204.7",3,0.349
Nipsey Hussle,"1,199.5",2,0.300
Jowell & Randy,"1,198.4",1,0.284
Liam Payne,"1,192.8",3,0.126
Amenazzy,"1,191.0",1,0.526
2Pac,"1,183.2",3,0.382
Mabel Matiz,"1,182.8",2,0.431
Bushido,"1,182.7",,0.129
Nick Jonas,"1,182.0",2,0.134
Dynoro,"1,180.3",1,0.138
Victor & Leo,"1,178.9",2,0.373
Mora,"1,177.6",2,2.480
Shinedown,"1,175.5",1,0.346
Baby K,"1,175.4",3,0.158
George Ezra,"1,175.2",4,0.251
Dire Straits,"1,175.0",5,0.469
Zak Chumpae,"1,174.7",3,0.041
Dhurata Dora,"1,174.0",1,0.231
Vicentico,"1,167.9",3,0.415
Sohail Sen,"1,167.0",2,0.309
Basshunter,"1,166.8",2,0.134
Otilia,"1,164.4",1,0.121
Mr. Children,"1,164.3",,0.553
Nightwish,"1,159.6",2,0.365
Jax Jones,"1,156.1",4,0.131
Benny Blanco,"1,153.8",2,0.259
Residente,"1,153.1",3,0.217
Ministério Zoe,"1,150.1",1,0.324
Sabrina Carpenter,"1,148.8",1,0.415
Disclosure,"1,145.3",3,0.167
Tomorrow X Together,"1,145.3",4,0.419
N Sync,"1,144.5",3,0.375
Felipe Peláez,"1,141.4",2,0.231
Miguel Bosé,"1,137.2",2,0.344
Sade,"1,134.8",3,0.459
Bonez MC,"1,128.1",3,0.280
Yellow Claw,"1,127.7",3,0.173
James Bay,"1,125.5",2,0.182
Alec Benjamin,"1,125.4",1,0.585
Lexa,"1,122.5",3,0.142
Banda Tierra Sagrada,"1,122.1",2,0.221
Club Dogo,"1,121.9",,0.242
Lady Antebellum,"1,121.7",2,0.261
Kid Cudi,"1,120.8",3,0.232
The Vamps,"1,117.1",2,0.121
August Alsina,"1,116.5",2,0.181
Momoland,"1,113.2",2,0.174
Survivor,"1,111.9",2,0.389
Amit Kumar,"1,111.8",2,0.244
The Verve,"1,107.1",1,0.333
Léo Magalhães,"1,101.8",1,0.345
MIKA,"1,100.9",2,0.170
Charli XCX,"1,100.9",3,0.142
Yella Beezy,"1,097.7",2,0.215
DVBBS,"1,094.1",1,0.067
Sam Hunt,"1,091.5",3,0.122
Aitana,"1,085.0",4,0.632
Ludacris,"1,084.2",1,0.191
Edward Maya,"1,083.3",2,0.277
Simge,"1,082.3",4,0.271
Birdy,"1,079.3",4,0.202
Labrinth,"1,077.9",3,0.402
The 1975,"1,077.9",,0.404
Mero,"1,077.6",2,0.321
Bhad Bhabie,"1,077.3",2,0.095
Alkilados,"1,077.3",4,0.180
The Rolling Stones,"1,076.6",,0.281
R. City,"1,076.4",1,0.145
Ben Fero,"1,073.7",3,0.228
Bazzi,"1,073.7",4,0.192
Gloria Groove,"1,072.8",2,0.534
Weird Al Yankovic,"1,070.8",2,0.230
Lizzo,"1,069.3",4,0.361
Keane,"1,068.7",2,0.554
Dan + Shay,"1,068.3",3,0.191
Boy Panomprai,"1,068.0",3,0.176
Anavitória,"1,067.6",3,0.243
Dillon Francis,"1,066.4",2,0.121
Bích Phương,"1,062.8",2,0.449
Hoobastank,"1,059.8",1,0.309
Wale,"1,058.1",3,0.223
Gym Class Heroes,"1,056.7",2,0.399
Sido,"1,056.5",,0.281
Alesso,"1,055.4",2,0.166
Mumford & Sons,"1,054.6",1,0.138
Sigala,"1,049.6",3,0.169
Lauren Daigle,"1,048.1",2,0.315
Kylie Minogue,"1,047.0",1,0.408
DJ Hamida,"1,046.4",1,0.155
Miguel,"1,046.4",4,0.420
Bigflo & Oli,"1,046.0",1,0.195
Spice Girls,"1,045.9",1,0.212
DMX,"1,045.4",3,0.306
Aleyna Tilki,"1,045.0",3,0.090
Mike Bahía,"1,042.0",4,0.465
Bobby Shmurda,"1,041.9",1,0.163
Aurora,"1,040.4",1,0.897
Cher Lloyd,"1,036.1",5,0.041
Blueface,"1,034.5",2,0.244
Dev Negi,"1,033.9",2,0.228
Pipe Bueno,"1,032.8",4,0.403
Siti Badriah,"1,031.4",1,0.091
Marama,"1,029.5",2,0.164
Param Singh,"1,029.0",1,0.250
Tiziano Ferro,"1,028.4",,0.198
Jannine Weigel,"1,028.4",1,0.055
Oliver Tree,"1,028.0",1,2.196
Kaaris,"1,027.6",2,0.104
Eurythmics,"1,027.1",1,0.475
Rocco Hunt,"1,026.4",3,0.504
Rich The Kid,"1,023.8",2,0.107
Glass Animals,"1,023.7",2,0.791
Bryant Oden,"1,022.9",2,0.142
Enzo Rabelo,"1,022.5",3,0.149
John Mayer,"1,019.9",2,0.254
Lost Frequencies,"1,018.6",3,0.151
Potato,"1,017.1",1,0.142
The Strokes,"1,016.5",3,0.292
ScHoolboy Q,"1,016.4",2,0.118
Jasmine Sandlas,"1,014.4",2,0.198
Ghali,"1,014.4",2,0.133
Darell,"1,014.3",2,0.368
Min,"1,013.5",5,0.168
Leslie Grace,"1,008.6",3,0.127
Alonzo,"1,003.3",2,0.095
Léo Santana,"1,002.1",1,0.379
Phan Mạnh Quỳnh,998.9,2,0.096
Bomba Estéreo,997.6,3,0.178
The Offspring,995.1,1,0.498
Ultimo,994.7,,0.331
Humberto e Ronaldo,993.4,1,0.347
Leandro Borges,993.0,1,0.435
João Neto e Frederico,991.7,2,0.063
Vegedream,991.3,1,0.507
Alex Campos,991.2,1,0.484
Sasa Kovacevic,985.3,,0.119
Fedez,984.9,2,0.232
Trúc Nhân,981.4,3,0.949
IZ*ONE,979.6,2,0.239
Café Tacvba,977.5,1,0.230
DNCE,975.7,3,0.158
Jack Harlow,969.9,2,0.417
Gen Hoshino,968.0,1,0.166
Papa Roach,966.3,2,0.220
Miranda Lambert,962.7,1,0.215
Olly Murs,962.0,3,0.129
Juan Luis Guerra,960.0,1,0.437
Wonder Girls,958.4,2,0.172
K Camp,957.9,2,0.197
Dido,957.2,2,0.422
Led Zeppelin,954.2,3,0.437
Jay-Z,953.0,1,0.565
Alex Sensation,952.2,2,0.176
Henrique & Diego,946.9,2,0.062
Sonu Nigam,945.7,2,0.479
Soobin Hoàng Sơn,942.7,1,0.223
Of Monsters and Men,940.8,1,0.154
João Bosco e Vinícius,940.2,2,0.234
Yash Narvekar,938.1,2,0.272
Creed,934.9,3,0.277
Vengaboys,934.8,3,0.341
Pooh Shiesty,933.1,2,0.433
Tony Kakkar,929.5,2,0.136
25hours,929.3,1,0.149
Monsta X,927.8,1,5.269
Abu,925.7,1,0.232
Boyz II Men,925.5,4,0.276
Axel,922.9,2,0.110
GFriend,922.0,,0.110
Ivete Sangalo,921.2,,0.195
Years & Years,917.5,2,0.132
Rachel Platten,915.2,2,0.143
RKM & Ken-Y,913.8,2,0.166
The Wanted,912.4,2,0.079
Pikotaro,910.4,3,0.151
John Lennon,908.0,4,0.231
Bump of Chicken,907.3,1,0.254
Savage Garden,902.7,3,0.325
Brad Paisley,902.7,2,0.151
MC Doni,902.6,3,0.150
Apink,902.5,,0.093
Julieta Venegas,902.4,2,0.389
Rich Gang,902.1,2,0.214
Tinie Tempah,900.1,2,0.106
RASA,900.1,2,0.627
Tame Impala,894.8,3,0.367
Why Don't We,892.3,1,0.188
Busta Rhymes,889.3,1,0.248
Capital Cities,889.2,2,0.257
Mahmut Orhan,888.9,3,0.194
Ana Carolina,885.6,2,0.251
KSI,885.5,1,0.066
AnnenMayKantereit,883.8,,0.358
Kenny Chesney,883.5,,0.147
Keen'V,883.3,1,0.223
Juicy J,882.6,1,0.114
Fat Joe,880.9,2,0.231
Steve Aoki,880.9,1,0.060
Seether,877.7,1,0.250
Fly Project,876.9,1,0.168
Michael Bolton,873.2,3,0.292
AOA,873.1,,0.086
Leo Rojas,873.0,2,0.218
Big Ass,872.5,2,0.181
Jamiroquai,869.0,1,0.221
TLC,866.9,3,0.222
Jess Glynne,862.4,4,0.151
Kiesza,862.1,2,0.136
King,860.7,2,4.931
Jassi Gill,860.7,1,0.116
Hamza Namira,858.8,2,0.356
Delia,858.1,,0.113
Tuğçe Kandemir,858.0,3,0.213
KC Rebell,854.8,,0.073
Ja Rule,852.0,3,0.283
Culture Club,849.8,2,0.246
Jay Sean,849.5,2,0.226
Vasco Rossi,846.2,,0.145
Marco Mengoni,845.9,2,0.176
Lilly Wood & The Prick,839.1,1,0.171
Daughtry,837.7,2,0.264
CKay,836.7,2,0.787
Mr Probz,835.2,1,0.177
gnash,834.7,1,0.200
deadmau5,834.2,,0.090
Vance Joy,833.7,1,0.187
Altamash Faridi,831.9,1,0.201
Midian Lima,827.2,2,0.244
Tinashe,825.6,1,0.114
Thaeme & Thiago,824.6,,0.054
Big Time Rush,824.4,1,0.083
NAV,823.8,,0.140
The Prodigy,823.6,1,0.199
ChocQuibTown,821.9,1,0.097
Maite Perroni,821.2,3,0.145
Lil Xan,821.2,2,0.091
X Ambassadors,820.8,2,0.189
Sum 41,820.7,2,0.169
365 DaBand,819.0,1,0.098
Tony Dize,818.6,2,0.249
BNK48,817.6,2,0.093
PnB Rock,817.0,,0.130
O.T. Genasis,816.7,2,0.076
KYLE,815.0,2,0.088
Far East Movement,814.9,2,0.098
J Soul Brothers,813.1,1,0.048
Hebe Tien,811.7,1,0.043
The Cure,811.6,1,0.264
EXID,809.5,1,0.077
Oras Sattar,807.9,1,0.122
Faydee,806.3,1,0.148
Burak Yeter,805.3,1,0.186
Sekai no Owari,802.9,1,0.153
Kodaline,800.7,2,0.237
T-ara,799.1,,0.147
La Quinta Estación,797.9,1,0.240
Mario,797.1,2,0.277
Loredana Zefi,795.7,,0.091
Sophia Grace,794.8,1,0.027
Il Volo,794.5,1,0.171
Polina Gagarina,794.0,1,0.243
T_T,792.7,2,0.047
Deorro,790.0,2,0.101
Redfoo,789.7,2,0.144
Eric Clapton,789.3,2,0.266
SanLuis,787.5,2,0.192
Atitude 67,786.3,1,0.146
Rusherking,786.1,2,1.141
SCH,785.3,1,0.108
Måneskin,785.0,2,0.585
The White Stripes,784.4,1,0.300
Weezer,782.4,1,0.181
Pia Mia,782.2,1,0.105
Queen Naija,780.5,2,0.265
Niall Horan,777.3,1,0.106
Kalash,777.2,1,0.143
Douzi,775.7,,0.168
Kool & The Gang,775.2,4,0.229
Breaking Benjamin,774.7,1,0.196
M83,774.0,2,0.217
Stormzy,772.5,2,0.221
JustaTee,770.9,3,0.314
Nicky Romero,770.1,1,0.034
Spitz,765.6,1,0.190
AAA,764.6,2,0.067
GTK,763.7,2,0.104
Takagi & Ketra,763.5,3,0.084
MC Hammer,763.1,1,0.182
Pepe Quintana,759.0,3,0.146
Cascada,758.7,1,0.097
Kungs,758.3,1,0.231
Osmani Garcia,758.1,1,0.082
Pet Shop Boys,757.5,2,0.302
Bullet For My Valentine,756.5,1,0.164
Rich Homie Quan,755.2,2,0.130
Central Cee,752.3,1,1.568
Marcela Gándara,749.7,2,0.234
Alessandra Amoroso,749.1,1,0.157
Bob Sinclar,746.9,2,0.250
Irama,746.0,2,0.334
Keri Hilson,743.5,2,0.165
Çağatay Akman,742.7,2,0.049
Sofia Carson,742.0,3,0.241
O Rappa,741.2,1,0.189
Paulina Rubio,740.3,1,0.143
Tiago Iorc,739.7,2,0.142
La Factoría,738.1,1,0.218
PARTYNEXTDOOR,737.6,2,0.281
Ozan Doğulu,736.4,2,0.081
Pawni Pandey,734.1,1,0.198
Murat Boz,727.9,2,0.130
John Denver,727.1,1,0.183
Leonard Cohen,726.7,2,0.225
Utada Hikaru,723.9,,0.402
Heart,723.2,2,0.325
Thiago Brava,721.0,1,0.031
Within Temptation,719.9,1,0.201
A Great Big World,719.5,1,0.127
KAZKA,716.6,1,0.147
JayDaYoungan,716.3,1,0.290
Silva Gunbardhi,714.3,1,0.131
City Girls,712.3,1,0.187
Oriente,706.5,2,0.137
Andy & Lucas,703.8,2,0.230
Bloodhound Gang,700.2,1,0.097
Louis Tomlinson,699.4,1,0.070
Ece Seçkin,698.8,3,0.063
Prince,696.7,,0.350
Duran Duran,696.4,1,0.372
Jovanotti,696.1,,0.106
La Fouine,695.9,,0.123
Jordin Sparks,695.0,1,0.208
Extreme,693.3,1,0.217
Gabriel Diniz,692.7,2,0.089
Pearl Jam,691.8,2,0.179
The Fray,691.1,2,0.100
Snow Patrol,690.5,1,0.117
Modà,690.3,,0.141
Haikaiss,689.8,1,0.072
Nico & Vinz,688.8,1,0.162
Paty Cantú,687.7,,0.087
Travie McCoy,686.4,1,0.118
OrelSan,685.5,1,0.161
Marina and the Diamonds,684.7,1,0.119
Goo Goo Dolls,683.9,1,0.305
MC Rodolfinho,681.3,2,0.057
Rise Against,680.5,2,0.102
LOONA,680.1,,0.109
Lily Allen,679.1,2,0.086
Kyary Pamyu Pamyu,678.2,1,0.066
UB40,677.4,1,0.194
India Martínez,675.1,2,0.333
Nicole Scherzinger,674.4,1,0.059
Lilly Goodman,673.9,1,0.216
Staind,673.6,2,0.199
Blue,672.6,3,0.376
Little Big Town,672.1,2,0.153
t.A.T.u.,669.8,2,0.225
The Chipettes,668.6,1,0.038
Trio Parada Dura,667.3,2,0.298
Julia Michaels,666.9,1,0.076
Bảo Anh,665.7,1,0.079
IAmChino,665.0,1,0.067
Helene Fischer,664.4,,0.196
Rema,664.1,1,1.815
DJ Antoine,662.3,1,0.061
The Fugees,661.4,2,0.505
M.I.A.,661.2,2,0.144
Biel,658.7,1,0.021
Monica,658.6,2,0.206
Burak King,658.3,2,0.105
Mustard,658.0,2,0.131
Dawin,657.6,2,0.057
Lali,657.3,1,0.147
Perfume,656.3,,0.078
Isaias Saad,655.4,1,0.648
Sak Noel,654.9,1,0.104
Yemi Alade,654.5,1,0.134
K.A.R.D,654.2,,0.108
Ace of Base,653.6,3,0.282
Maxim Fadeev,653.2,2,0.161
Daoko,652.6,1,0.144
Adam Lambert,650.7,2,0.193
Ace Hood,650.0,1,0.079
KeBlack,648.6,2,0.065
Cleber e Cauan,648.3,1,0.110
Norm Ender,648.0,1,0.124
Feduk,645.3,2,0.111
Sophana,645.0,3,0.160
Reyli Barba,644.3,1,0.140
Anna Kendrick,642.8,1,0.037
Cro,640.4,,0.049
Madcon,640.0,3,0.108
Martin Solveig,639.8,2,0.041
Saif Nabeel,636.5,2,0.159
SDP,635.2,,0.141
Kevvo,632.8,1,0.170
Felix Jaehn,632.1,1,0.165
Block B,630.2,,0.054
Shiina Ringo,629.7,,0.172
BABYMETAL,628.6,1,0.137
Armada,626.6,2,0.158
Magic System,626.5,1,0.195
Dierks Bentley,624.3,1,0.102
The Black Keys,622.4,1,0.124
Sarah Farias,621.5,2,0.238
MGMT,621.3,3,0.172
Fabio Rovazzi,621.2,3,0.035
Smash Mouth,617.4,1,0.168
Sakanaction,615.2,1,0.119
Mark Forster,614.5,1,0.075
Summer Cem,614.4,1,0.069
Iyaz,613.3,2,0.199
Livres,612.2,1,0.181
Bella Poarch,611.9,2,0.400
Fabri Fibra,611.5,,0.138
Dean Lewis,611.0,2,0.446
Alanis Morissette,610.7,1,0.175
AWOLNATION,610.2,1,0.113
Tayrone,608.7,1,0.603
Amit Mishra,608.6,2,0.061
Bizzey,607.4,1,0.091
Masked Wolf,604.9,2,0.207
RIDSA,604.9,1,0.141
Vũ Duy Khánh,603.6,1,0.035
Lola Indigo,601.7,1,0.530
Stefflon Don,601.4,2,0.101
2PM,599.8,,0.070
Beast,599.5,1,0.066
R.I.O.,599.3,1,0.029
Pentagon,599.2,1,0.072
Noah Cyrus,597.4,2,0.084
Gradur,597.1,2,0.048
Millind Gaba,596.7,1,0.132
Sylwia Grzeszczak,596.5,1,0.111
ZAZ,596.3,,0.171
BlocBoy JB,595.7,1,0.067
Max Jenmana,595.1,2,0.071
Kat DeLuna,594.6,2,0.085
Louane,591.8,,0.106
Vázquez Sounds,589.9,1,0.044
Alexio La Bestia,587.5,2,0.243
Sumit Goswami,586.9,1,0.082
Blondie,586.7,1,0.310
Loubet,584.8,,0.117
BOL4,583.9,1,0.153
ZHU,583.8,2,0.181
Lil Jon,583.6,2,0.144
Netta,583.5,2,0.220
The Smashing Pumpkins,583.1,1,0.180
Charlie Brown Jr.,580.1,1,0.204
Nekfeu,579.3,1,0.071
Rascal Flatts,575.7,1,0.103
miss A,574.8,1,0.064
Khaled,574.5,1,0.268
Matchbox Twenty,573.9,1,0.177
DeJ Loaf,572.9,2,0.134
Cheat Codes,571.4,2,0.074
E-Girls,568.2,,0.034
Luther Vandross,565.0,2,0.212
Ligabue,564.9,,0.073
Girl's Day,563.4,,0.060
Enya,561.3,1,0.216
Zay & Zayion,559.6,1,0.029
Mithoon,559.1,1,0.210
MC Brinquedo,558.4,1,0.045
Emis Killa,558.0,,0.085
The Calling,557.4,1,0.131
Bone Thugs-N-Harmony,557.2,2,0.126
Hoàng Thuỳ Linh,556.9,1,0.582
Ahmed Chawki,556.1,2,0.067
Kelly Rowland,554.3,1,0.105
D.R.A.M.,553.2,1,0.047
Portugal. The Man,553.0,1,0.093
Scooter,551.8,,0.088
WALK THE MOON,551.5,1,0.079
Empire Of The Sun,551.2,3,0.183
George Strait,550.9,1,0.231
Ashanti,550.3,1,0.168
Aminé,548.3,1,0.060
Bow Wow,547.4,2,0.111
Rochak Kohli,546.4,1,0.013
Sara Bareilles,545.3,2,0.084
Y2K,545.2,1,0.107
f(x),544.9,1,0.042
The All-American Rejects,544.7,2,0.093
Kay One,544.6,2,0.036
Lary Over,543.4,1,0.048
K'Naan,541.5,1,0.315
Sevyn Streeter,537.9,1,0.114
Malú,537.6,,0.060
Bridgit Mendler,536.7,2,0.037
back number,536.6,1,0.013
Bob Dylan,535.3,,0.198
Eiffel 65,534.7,2,0.087
Colbie Caillat,533.3,1,0.074
Erol Evgin,532.3,1,0.078
Wanna One,531.2,1,0.043
GReeeeN,531.1,,0.096
Heuss L'Enfoiré,531.0,2,0.197
Chi Dân,528.3,1,0.028
Pollo,527.7,2,0.089
Marracash,526.7,,0.277
Pusho,526.6,1,0.033
Richard Marx,526.0,1,0.214
R-chord,524.5,,0.066
Playboi Carti,524.0,1,0.110
Derya Uluğ,521.9,2,0.101
Sławomir,521.9,1,0.036
UM44K,519.6,2,0.058
Coez,519.0,1,0.126
Ailee,518.8,1,0.086
Kemilly Santos,517.0,1,0.116
Sinéad O'Connor,516.3,2,0.249
Queens of the Stone Age,515.5,1,0.096
Beastie Boys,515.5,1,0.114
Jacob Forever,515.3,2,0.149
Judas Priest,514.3,,0.189
Playa Limbo,514.1,1,0.089
Johnny Cash,513.9,2,0.282
Jimi Hendrix,513.6,1,0.130
Soundgarden,512.6,1,0.139
Annalisa,511.6,,0.255
Simon & Garfunkel,510.0,1,0.170
Meat Loaf,508.1,1,0.193
Paloma Mami,508.0,2,0.164
Jefferson Moraes,506.9,1,0.061
Aun Feeble Heart,505.5,1,0.029
Emma Marrone,503.2,,0.077
Bonde da Stronda,502.7,1,0.060
Starship,499.3,2,0.326
K. Michelle,499.0,,0.062
Munhoz & Mariano,498.6,1,0.034
Lilit Hovhannisyan,498.0,1,0.120
Cole Swindell,496.6,1,0.190
The xx,496.0,,0.061
Zendaya,495.1,1,0.054
Hayley Kiyoko,495.0,1,0.070
Fleetwood Mac,494.9,,0.355
Elisa,492.4,,0.097
Zaho,492.1,1,0.197
OK Go,490.6,,0.037
Boef,490.5,,0.173
Momoiro Clover Z,489.9,,0.078
Lou Bega,489.7,1,0.160
Amir,488.8,2,0.137
Ayumi Hamasaki,487.4,,0.136
Young Money,487.0,1,0.070
Hinder,486.0,1,0.121
Theory of a Deadman,485.4,1,0.056
Rage Against The Machine,484.7,1,0.190
Colonel Reyel,484.4,1,0.039
Gülben Ergen,484.3,1,0.086
TVXQ,482.9,,0.067
Take That,482.2,,0.144
Las Ketchup,481.9,2,0.180
Andreas Gabalier,481.8,1,0.067
Gliss,481.7,2,0.017
Showtek,480.9,2,0.021
KARA,478.7,1,0.175
Diddy – Dirty Money,478.3,1,0.063
Deep Purple,476.9,2,0.175
Karmin,475.1,1,0.066
Vanilla Ice,474.2,1,0.155
Ton Carfi,473.7,2,0.235
Negramaro,472.1,,0.074
Nimo,472.0,,0.068
Mohombi,471.2,2,0.082
Retrospect,470.7,1,0.041
Luma Elpidio,470.0,2,0.118
Big Shaq,469.9,1,0.038
Bappi Lahiri,469.9,1,0.084
BTOB,468.2,,0.080
Sachet Tandon,466.2,1,0.119
Kell Smith,463.3,1,0.101
Eva,462.5,1,0.067
Cheryl,459.3,,0.026
Blackstreet,458.7,1,0.165
Fridaynight to Sunday,458.4,1,0.103
Hilary Duff,458.2,,0.034
Belanova,458.0,1,0.225
A.R. Rahman,455.7,1,0.074
Hương Tràm,455.1,2,0.058
Sam Tsui,455.1,,0.017
Akcent,451.1,1,0.028
Sigma,451.0,1,0.027
Parampara Tandon,450.9,1,0.109
Discopraise,450.6,1,0.093
MØ,449.7,1,0.036
Billy Currington,448.7,1,0.089
Grimes,448.6,,0.173
Anaïs Delva,447.9,1,0.046
Jaden Smith,447.9,1,0.038
MC Guimê,446.9,1,0.028
Vald,446.5,1,0.042
Grace,446.1,1,0.066
Alligatoah,445.7,,0.073
Chance the Rapper,445.4,1,0.051
Sugarland,442.3,1,0.072
Salmo,439.7,,0.086
Konshens,439.7,1,0.060
Ofenbach,439.2,2,0.079
Whitesnake,438.0,2,0.089
Eve,437.8,1,0.160
Simple Minds,434.8,1,0.163
Rob Zombie,433.3,1,0.133
Lalo Ebratt,431.7,1,0.061
Paloma Faith,430.3,1,0.368
Güliz Ayla,428.1,2,0.049
Francesco Gabbani,427.9,1,0.034
Yinglee Srijumpol,427.3,1,0.036
Banda Vingadora,426.1,1,0.047
Chung Ha,424.7,,0.049
December Avenue,424.0,2,0.133
Jojo Maronttinni,423.0,1,0.032
Aaliyah,422.4,,0.027
Skylar Grey,421.7,1,0.057
K-Ci & JoJo,420.4,1,0.114
Jay Rock,419.6,1,0.048
Tyrese,418.8,1,0.137
Maejor Ali,418.3,1,0.031
Anastacia,417.9,,0.131
Elettra Lamborghini,417.1,1,0.052
Onze:20,416.1,,0.043
Janet Jackson,416.0,,0.208
Rei,414.9,1,0.877
Lil' Kleine,413.2,,0.028
Veysel,412.2,,0.058
Toygar Işıklı,411.2,1,0.110
Route 94,410.2,1,0.113
Sheck Wes,409.6,1,0.098
3OH!3,409.4,1,0.034
P-HOT,408.5,1,0.047
Aastha Gill,404.9,1,0.133
Counting Crows,401.9,1,0.126
Max Pezzali,400.7,,0.115
Bella Thorne,400.4,1,0.015
Cher,400.0,1,0.399
Eypio,399.1,1,0.061
Metro Boomin,398.6,,1.004
Tokio Hotel,398.4,,0.046
Vanessa Carlton,397.9,1,0.093
Eva Simons,396.7,1,0.043
Łobuzy,396.5,2,0.113
Mario Bautista,395.8,1,0.083
Village People,395.6,1,0.069
Example,394.5,1,0.044
Thegiornalisti,394.3,1,0.073
Massive Attack,394.0,,0.077
Tom Petty,393.4,1,0.118
Sarah Connor,391.6,,0.079
Emeli Sandé,391.6,,0.041
Grebz,390.1,1,0.039
Lamyai Haithongkham,390.0,1,0.015
Infinite,388.1,,0.038
The Band Perry,387.9,1,0.053
MC Tati Zaqui,387.8,,0.019
Shivam Pathak,385.5,1,0.099
Lifehouse,384.7,1,0.059
Azealia Banks,383.3,1,0.033
VIXX,382.6,,0.030
Normani,382.0,2,0.137
Lupe Fiasco,381.8,1,0.035
Nargiz,381.2,1,0.051
Natalie Imbruglia,380.2,1,0.110
Jazmine Sullivan,378.7,,0.166
Thepparit Imsudsumran,377.4,1,0.031
Nek,373.9,1,0.097
Vitaa,373.6,1,0.067
Kavinsky,371.0,1,0.076
American Authors,369.2,1,0.047
Dosseh,367.9,,0.042
James Morrison,367.5,1,0.035
Namika,367.4,1,0.047
La Ley,367.0,1,0.084
Gesu no Kiwami Otome,366.1,,0.030
Kelsea Ballerini,365.9,,0.090
Tom and Angela,365.1,1,0.006
K.Will,364.5,1,0.093
Giorgia,363.7,,0.046
Woodkid,363.1,1,0.081
Beck,361.9,1,0.079
Bomfunk MC's,361.5,1,0.120
Enigma,360.2,1,0.110
Gnarls Barkley,358.1,2,0.236
Alice Cooper,358.0,1,0.081
Guru Josh,357.7,1,0.101
Matt Hunter,357.7,1,0.019
Alice Merton,357.1,1,0.080
Cassie,356.8,1,0.105
Seeed,356.5,,0.055
Bad Meets Evil,353.9,2,0.064
Marc Seguí,353.6,1,0.288
Rebecca Black,353.6,1,0.023
Ruth B,353.5,1,0.112
London Grammar,352.9,,0.093
Priyanka Chopra,351.9,1,0.054
RUN-DMC,350.9,1,0.089
Arizona Zervas,350.8,1,0.097
Warren G,350.7,1,0.104
Mika Singh,350.3,1,0.076
Margaret,349.8,,0.036
Twister El Rey,347.7,1,0.045
Technotronic,347.1,1,0.121
Kate Bush,346.2,1,0.261
Gianluca Vacchi,345.6,1,0.028
Hurts,343.4,,0.052
Amy Macdonald,340.6,1,0.122
Farid Bang,340.5,,0.036
Claudio Capéo,339.4,1,0.073
Sage The Gemini,339.0,2,0.022
Icona Pop,336.9,1,0.049
Apocalyptica,335.4,,0.116
Ketsumeishi,335.0,2,0.064
MC João,331.9,1,0.027
Superfly,329.9,1,0.073
Lena,329.0,,0.028
Tacabro,326.7,2,0.049
Yohani,326.4,1,0.066
Sukima Switch,325.8,1,0.059
Natasha Bedingfield,323.2,1,0.057
Janelle Monáe,320.7,,0.042
Wagakki Band,319.8,1,0.044
Feder,318.0,2,0.064
CLC,317.5,,0.033
Klingande,316.4,1,0.025
Ryan Higa,314.0,,0.009
Adel Tawil,312.8,,0.043
Echosmith,312.5,1,0.050
Misia,311.8,,0.081
Alien Ant Farm,311.5,1,0.111
Wyclef Jean,310.9,2,0.091
